Time,Tout1,Tout2,Tin1,Tin2
0,24,24,25.75,25.66
1,23,23,25.43,25.3
2,23,22,25.03,24.89
3,22,22,24.64,24.51
4,22,21,24.22,24.14
5,22,21,23.93,23.75
6,21,21,23.65,23.66
7,22,22,23.57,23.57
8,24,24,23.52,23.59
9,25,24,23.51,23.62
10,28,27,23.59,23.64
11,30,29,23.8,23.75
12,31,30,24.19,24
13,30,32,24.66,24.39
14,32,32,25.03,24.81
15,33,33,25.27,25.07
16,32,32,25.38,25.17
17,31,32,25.34,25.16
18,31,31,25.24,26.4
19,30,30,25.12,26.72
20,27,28,24.99,26.69
21,26,27,24.85,26.63
22,25,26,25.7,26.55
23,24,25,26.01,26.44